,errors,samples_type
0,2.4,train
1,1.6070496083550914,train
2,2.662388514248423,train
3,2.460304054054054,train
4,2.320427988174011,train
5,9.188362551286833,train
6,18.127921432123323,train
7,14.419502775766352,train
8,16.42087691069992,train
9,5.9048596851471595,train
10,4.104916732751784,train
11,4.142635177128652,train
12,4.659676103926366,train
13,5.549910873440285,train
14,1.4062866949688375,train
15,3.6203912716328066,train
16,1.608047590401711,train
17,1.0812117305833064,train
18,1.7606294605648807,train
19,1.4134804972138877,train
20,1.5713908107972954,train
21,1.1891631492016883,train
22,2.2923449842097616,train
23,1.8432053680116387,train
24,2.1070182644108724,train
25,5.999187652315191,train
26,3.620475529046491,train
27,3.917610710607621,train
28,4.154410872466934,train
29,3.168071950534008,train
30,1.8369765791341377,train
31,2.059352092693308,train
32,1.6715155705661782,train
33,1.0389485107922345,train
34,1.8966464417205604,train
35,1.5134817114388004,train
36,1.7164340406000291,train
37,3.0195427354760214,train
38,19.620650207202473,train
39,4.7055639393740565,train
40,16.134168116646784,train
41,23.718685831622178,train
42,16.488263283108644,train
43,16.640149160969546,train
44,18.716590935570313,train
45,22.294117647058822,train
46,13.556498961250114,train
47,14.542513167795335,train
48,15.501704431521958,train
49,13.502935920347204,train
50,6.065095655830132,train
51,9.211202524512567,train
52,7.199284402805894,train
53,11.496236073471845,train
54,4.827467756891174,train
55,7.641108664680741,train
56,6.337176242155265,train
57,9.949208736370784,train
58,5.290669776741086,train
59,6.42156582817006,train
60,5.94089548296205,train
61,3.3465463858415196,train
62,1.7383940272427625,train
63,2.1548508354172307,train
64,1.8930242211950616,train
65,1.4988098129706096,train
66,1.6515080043210224,train
67,1.0323186206992987,train
68,1.354600821220446,train
69,2.658204442166146,train
70,1.6107433015889945,train
71,1.1061095894511548,train
72,2.523879114795793,train
73,1.1687066942636768,train
74,1.433631877064783,train
75,2.057430359553319,train
76,1.0,train
77,2.8776266996291717,train
78,17.821585775512567,train
79,13.019061066007765,train
80,3.7264922322158625,train
81,1.484967320261438,train
82,9.590543459941472,train
83,1.5930728026887955,train
84,1.1811114942168448,train
85,7.830593948449757,train
86,1.0,train
87,3.3518041237113403,train
88,3.0826787928896238,train
89,4.439223093782443,train
90,1.3527279384840718,train
91,12.888893333200004,train
92,16.17371280113368,train
93,1.0,train
94,14.96852003270646,train
95,2.7046654929577465,train
96,1.613406795224977,train
97,3.2742805755395685,train
98,2.388838028974893,train
99,2.5174652395557495,train
100,3.3805729963594153,train
101,1.952062119309992,train
102,2.548483233041737,train
103,3.2065977465443143,train
104,2.390386186182466,train
105,1.0,train
106,2.3820162999002275,train
107,2.4,train
108,28.352941176470587,train
109,2.401826484018265,train
110,7.583756345177665,train
111,2.0716431707880747,train
112,2.130074074074074,train
113,23.34352162749358,train
114,4.770319372729011,train
115,20.53182470119522,train
116,309.7647058823529,train
117,26.232876712328768,train
118,82.8274111675127,train
119,22.62537554887913,train
120,92.92918454935622,train
121,7.122392478276363,train
122,32.114887505983724,train
123,7.304215282440254,train
124,5.127695089720406,train
125,2.137403303177036,train
126,2.289448364336113,train
127,1.8800061870532991,train
128,1.6181651696171624,train
129,2.8123510239001734,train
130,1.2240560556698048,train
131,2.8031608733399787,train
132,274.94117647058823,train
133,23.2826899128269,train
134,73.51269035532995,train
135,20.081118557892303,train
136,77.8047138047138,train
137,6.814893094126321,train
138,24.369639210347174,train
139,6.941377973112719,train
140,4.530324009969537,train
141,2.4171382870882128,train
142,2.026872475706802,train
143,2.1256975065681525,train
144,1.7849355579096045,train
145,7.7894319280075335,train
146,1.4104121440429065,train
147,6.637430681091119,train
148,3002.676470588235,train
149,254.27563304275634,train
150,802.8375634517766,train
151,219.30991449040906,train
152,375.3218884120172,train
153,28.765741070694332,train
154,129.7051220679751,train
155,29.500099802210165,train
156,354.05387205387206,train
157,31.011206684689114,train
158,110.89380530973452,train
159,31.586672699069286,train
160,51.59947487767037,train
161,3.6398787184033417,train
162,15.270136561566696,train
163,3.6512616702106073,train
164,49.47659927997785,train
165,4.518223162615436,train
166,22.13608189706882,train
167,5.137695002823046,train
168,6.50351966873706,train
169,1.4285799772127417,train
170,3.283843795662264,train
171,1.4334139464305906,train
172,19.49357786016949,train
173,1.7117778891791664,train
174,7.743281707116949,train
175,1.4586188158129743,train
176,2.658204442166146,train
177,11.972142692750287,train
178,4.708266833924324,train
179,2.783757288342252,train
180,4.404495456440001,train
181,4.1687276451855695,train
182,2.517279227199526,train
183,1.0,train
184,2.8198924731182795,train
185,23.478448275862068,train
186,8.004356112169889,train
187,30.81451612903226,train
188,3.0645604395604398,train
189,10.552629472504602,train
190,2.1497655198031294,train
191,1.3645918367346939,train
192,8.546532548249917,train
193,1.0,train
194,27.346774193548388,train
195,2.470124481327801,train
196,2.4229662568663355,train
197,1.209846760218817,train
198,11.30882024229961,train
199,8.453249496016127,train
200,1.0,train
201,124.44623655913979,train
202,12.377472527472527,train
203,11.239834024896265,train
204,2.7186357154636376,train
205,2.595305897483006,train
206,4.5073518298607365,train
207,5.505385477897455,train
208,2.1259483758110775,train
209,2.4851851851851854,train
210,1.8576355926840074,train
211,2.390386186182466,train
212,1.0,train
213,2.3980150780664595,train
